"item";"location";"games";"location_general"
"TM35 (Flamethrower)";"West of the house near the entrance";"B|W";"Abundant Shrine"
"BalmMushroom";"On the northern bank of the pond west of the house (requires Surf) (hidden)";"B|W";"Abundant Shrine"
"Hyper Potion";"Northeast of Youngster Wes";"B|W";"Abundant Shrine"
"TinyMushroom";"North of Youngster Wes (hidden)";"B|W";"Abundant Shrine"
"TinyMushroom";"Southwest of Lass Lurleen (hidden)";"B|W";"Abundant Shrine"
"TinyMushroom";"West of Landorus's shrine (hidden)";"B|W";"Abundant Shrine"
"Razor Fang";"Southwest of Lass Maki";"B|W";"Abundant Shrine"
"Rare Candy";"Southeast of Youngster Lester";"B|W";"Abundant Shrine"
"Big Mushroom";"East of Landorus's shrine (requires Surf) (hidden)";"B|W";"Abundant Shrine"
"TM92 (Trick Room)";"Southeast of Landorus's shrine (requires Surf)";"B|W";"Abundant Shrine"
"Dread Plate";"North of the western entrance";"B|W|B2|W2";"Abyssal Ruins"
"Earth Plate";"Southeast quadrant";"B|W|B2|W2";"Abyssal Ruins"
"Fist Plate";"Southwest corner";"B|W|B2|W2";"Abyssal Ruins"
"Flame Plate";"West of the room's center";"B|W|B2|W2";"Abyssal Ruins"
"Icicle Plate";"South of the room's center";"B|W|B2|W2";"Abyssal Ruins"
"Insect Plate";"Near the northeast corner";"B|W|B2|W2";"Abyssal Ruins"
"Iron Plate";"Northwest quadrant";"B|W|B2|W2";"Abyssal Ruins"
"Meadow Plate";"Southwest quadrant";"B|W|B2|W2";"Abyssal Ruins"
"Mind Plate";"North of the room's center";"B|W|B2|W2";"Abyssal Ruins"
"Sky Plate";"North of the eastern entrance";"B|W|B2|W2";"Abyssal Ruins"
"Spooky Plate";"Southeast quadrant";"B|W|B2|W2";"Abyssal Ruins"
"Stone Plate";"Near the northern entrance";"B|W|B2|W2";"Abyssal Ruins"
"Toxic Plate";"Southeast corner";"B|W|B2|W2";"Abyssal Ruins"
"Zap Plate";"South of the western entrance";"B|W|B2|W2";"Abyssal Ruins"
"Relic Gold";"Near the northwest corner";"B|W|B2|W2";"Abyssal Ruins"
"Relic Gold";"Southwest quadrant";"B|W|B2|W2";"Abyssal Ruins"
"Relic Gold";"East of the room's center";"B|W|B2|W2";"Abyssal Ruins"
"Relic Silver";"Northwest quadrant";"B|W|B2|W2";"Abyssal Ruins"
"Relic Silver";"Northeast quadrant";"B|W|B2|W2";"Abyssal Ruins"
"Relic Silver";"Southeast quadrant";"B|W|B2|W2";"Abyssal Ruins"
"Relic Copper";"Inside the northern entrance";"B|W|B2|W2";"Abyssal Ruins"
"Relic Copper";"Inside the eastern entrance";"B|W|B2|W2";"Abyssal Ruins"
"Relic Copper";"Inside the southern entrance";"B|W|B2|W2";"Abyssal Ruins"
"Relic Copper";"Southeast of the western entrance";"B|W|B2|W2";"Abyssal Ruins"
"Relic Statue";"Just north of the room's center";"B|W|B2|W2";"Abyssal Ruins"
"Relic Vase";"Southeast quadrant";"B|W|B2|W2";"Abyssal Ruins"
"Relic Gold";"Northwest quadrant";"B|W|B2|W2";"Abyssal Ruins"
"Relic Gold";"Northeast quadrant";"B|W|B2|W2";"Abyssal Ruins"
"Relic Gold";"Along the east wall";"B|W|B2|W2";"Abyssal Ruins"
"Relic Silver";"Northeast quadrant";"B|W|B2|W2";"Abyssal Ruins"
"Relic Silver";"Southwest quadrant";"B|W|B2|W2";"Abyssal Ruins"
"Relic Copper";"Southwest quadrant";"B|W|B2|W2";"Abyssal Ruins"
"Relic Copper";"Near the entrance from 1F";"B|W|B2|W2";"Abyssal Ruins"
"Relic Statue";"Southwest corner";"B|W|B2|W2";"Abyssal Ruins"
"Relic Vase";"Northwest corner";"B|W|B2|W2";"Abyssal Ruins"
"Relic Band";"Southeast corner";"B|W|B2|W2";"Abyssal Ruins"
"Relic Band";"Northeast quadrant";"B|W|B2|W2";"Abyssal Ruins"
"Relic Gold";"Southwest corner";"B|W|B2|W2";"Abyssal Ruins"
"Relic Silver";"South side";"B|W|B2|W2";"Abyssal Ruins"
"Relic Statue";"Northwest corner";"B|W|B2|W2";"Abyssal Ruins"
"Relic Vase";"Northeast corner";"B|W|B2|W2";"Abyssal Ruins"
"Relic Vase";"Along the west wall";"B|W|B2|W2";"Abyssal Ruins"
"Relic Band";"Northeast quadrant";"B|W|B2|W2";"Abyssal Ruins"
"Relic Band";"Southeast quadrant";"B|W|B2|W2";"Abyssal Ruins"
"Relic Band";"In the room's center";"B|W|B2|W2";"Abyssal Ruins"
"Relic Crown";"In the center of the room";"B|W|B2|W2";"Abyssal Ruins"
"Poké Ball";"From a man in a building next to the gate";"B|W";"Accumula Town"
"Rare Candy";"After winning at least seven battles in the Battle Subway";"B|W|B2|W2";"Anville Town"
"Full Restore";"After winning at least seven battles in the Battle Subway";"B|W|B2|W2";"Anville Town"
"Max Revive";"After winning at least seven battles in the Battle Subway";"B|W|B2|W2";"Anville Town"
"Elixir";"After winning at least seven battles in the Battle Subway";"B|W|B2|W2";"Anville Town"
"Protein";"After winning at least seven battles in the Battle Subway";"B|W|B2|W2";"Anville Town"
"Iron";"After winning at least seven battles in the Battle Subway";"B|W|B2|W2";"Anville Town"
"Calcium";"After winning at least seven battles in the Battle Subway";"B|W|B2|W2";"Anville Town"
"Zinc";"After winning at least seven battles in the Battle Subway";"B|W|B2|W2";"Anville Town"
"Carbos";"After winning at least seven battles in the Battle Subway";"B|W|B2|W2";"Anville Town"
"HP Up";"After winning at least seven battles in the Battle Subway";"B|W|B2|W2";"Anville Town"
"Revive";"In exchange for two Escape Ropes (on weekends)";"B|W|B2|W2";"Anville Town"
"PP Up";"In exchange for one Star Piece (on weekends)";"B|W|B2|W2";"Anville Town"
"Full Restore";"In exchange for twenty Poké Balls (on weekends)";"B|W|B2|W2";"Anville Town"
"Ultra Ball";"In grass at the north of the town (hidden)";"B|W";"Anville Town"
"Rare Candy";"From a Depot Agent in the house at the southeast of the town";"B|W|B2|W2";"Anville Town"
"PP Up";"From a Janitor on any non-Super Train platform after 21 consecutive victories";"B|W|B2|W2";"Battle Subway"
"PP Up";"From an Artist on any Super Train platform after 21 consecutive victories";"B|W|B2|W2";"Battle Subway"
"Rare Candy";"From an Ace Trainer♀ on any Super Train platform after 28 consecutive victories";"B|W|B2|W2";"Battle Subway"
"Lansat Berry";"From a Clerk ♂ on any Super Train platform after 105 consecutive victories";"B|W|B2|W2";"Battle Subway"
"Starf Berry";"From an Ace Trainer♀ on any Super Train platform after 203 consecutive victories";"B|W|B2|W2";"Battle Subway"
"Fresh Water";"After defeating Waiter ClintAfter defeating Waitress Bonita";"B|W";"Big Stadium and Small Court"
"Full Restore";"After defeating Nurse Kirsten";"B|W|B2|W2";"Big Stadium and Small Court"
"Max Revive";"After defeating Doctor Jules";"B|W|B2|W2";"Big Stadium and Small Court"
"Moomoo Milk";"After defeating Baker Lilly";"B|W|B2|W2";"Big Stadium and Small Court"
"Ether";"After defeating Scientist SimonAfter defeating Scientist Blythe";"B|W|B2|W2";"Big Stadium and Small Court"
"PP Up";"After defeating Ace Trainer LucilleAfter defeating Ace Trainer Charlie";"B|W|B2|W2";"Big Stadium and Small Court"
"PP Max";"After defeating Veteran ArlenAfter defeating Veteran Sayuri";"B|W|B2|W2";"Big Stadium and Small Court"
"Rare Candy";"After defeating Nursery Aide Leah";"B|W|B2|W2";"Big Stadium and Small Court"
"Ultra Ball";"After defeating Youngster KevinAfter defeating Lass Dana";"B|W|B2|W2";"Big Stadium and Small Court"
"Max Repel";"After defeating Backpacker AlexanderAfter defeating Backpacker Patty";"B|W|B2|W2";"Big Stadium and Small Court"
"Big Pearl";"After defeating Socialite Emilia";"B|W|B2|W2";"Big Stadium and Small Court"
"Nugget";"After defeating Gentleman Renaud";"B|W|B2|W2";"Big Stadium and Small Court"
"Leaf Stone";"Received from a Scientist on Thumb Pier (only one stone can be chosen)";"B|W";"Castelia City"
